Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30
1020,Newport Playground,,,"Newport Ave & Thatford Ave, Osborne St",Brooklyn,NY,11212,"Newport Ave & Thatford Ave, Osborne St Brooklyn, NY 11212",40.6609,-73.907,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1021,Nicholas A. Brizzi Playground,,,"42 To 43 Sts, 10 To New Utrecht Aves",Brooklyn,NY,11219,"42 To 43 Sts, 10 To New Utrecht Aves Brooklyn, NY 11219",40.6424,-73.9947,,,City of New York,Municipal/Local Government,,Level 3: Accessible Playgrounds with Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1022,Noonan Playground,,,"Greenpoint Ave, 43 St, 47 Ave, 42 St",Sunnyside,NY,11104,"Greenpoint Ave, 43 St, 47 Ave, 42 St Sunnyside, NY 11104",40.7411,-73.9225,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1023,Norelli-hargreaves Playground,,,"Van Wyck Exwy, 106 Ave, 142 St, 104 Ave",Jamaica,NY,11435,"Van Wyck Exwy, 106 Ave, 142 St, 104 Ave Jamaica, NY 11435",40.6902,-73.8088,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1024,North Pacific Playground,,,"N/s Pacific St, Bet Nevins St & 3 Ave",Brooklyn,NY,11217,"N/s Pacific St, Bet Nevins St & 3 Ave Brooklyn, NY 11217",40.6853,-73.9821,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1025,North Rochdale Playground,,,Baisley Blvd & Bedell St,Jamaica,NY,11434,"Baisley Blvd & Bedell St Jamaica, NY 11434",40.68,-73.7749,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1026,Northern Playground,,,Northern Blvd & 93 St,Jackson Heights,NY,11372,"Northern Blvd & 93 St Jackson Heights, NY 11372",40.7561,-73.8746,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1027,Nostrand Playground,,,Nostrand & Foster Aves,Brooklyn,NY,11210,"Nostrand & Foster Aves Brooklyn, NY 11210",40.6381,-73.9473,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1028,Oakland Gardens,,,E/s Springfield Blvd & 54 Ave,Oakland Gardens,NY,11364,"E/s Springfield Blvd & 54 Ave Oakland Gardens, NY 11364",40.7536,-73.7598,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1029,Old Town Playground,,,"Parkinson Ave, Kramer St",Staten Island,NY,10305,"Parkinson Ave, Kramer St Staten Island, NY 10305",40.5954,-74.0814,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
103,Western UP Boundless Playground,Watersmeet Township School,,North 4720 U.S. Highway 45,Watersmeet,MI,49969,"North 4720 U.S. Highway 45 Watersmeet, MI 49969",,,,,,,,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1030,Olinville Playground,,,"E 219 ST, BX RIVER PKWY",Bronx,NY,10467,"E 219 ST, BX RIVER PKWY Bronx, NY 10467",40.884,-73.867,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1031,Oracle Playground,,,Adelphi & Myrtle Aves,Brooklyn,NY,11205,"Adelphi & Myrtle Aves Brooklyn, NY 11205",40.6939,-73.9715,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1032,Orville & Wilbur Playground,,,St Nicholas Ave & W 156 St,New York,NY,10032,"St Nicholas Ave & W 156 St New York, NY 10032",40.8317,-73.9418,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1033,Osborn Playground,,,"Linden Blvd & Osborn St, Thatford Ave",Brooklyn,NY,11212,"Linden Blvd & Osborn St, Thatford Ave Brooklyn, NY 11212",40.6557,-73.9061,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1034,Owls Head Park,,,"67 ST & COLONIAL RD, NORTH OF B066-02",Brooklyn,NY,11220,"67 ST & COLONIAL RD, NORTH OF B066-02 Brooklyn, NY 11220",40.64,-74.0305,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1035,Owls Head Park,,,"NR ENT @ COLONIAL RD/67 ST, SOUTH OF B066-01",Brooklyn,NY,11220,"NR ENT @ COLONIAL RD/67 ST, SOUTH OF B066-01 Brooklyn, NY 11220",40.6394,-74.0308,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1036,Oxport Playground,,,"Flushing Ave, N Portland Ave & N Oxford St",Brooklyn,NY,11205,"Flushing Ave, N Portland Ave & N Oxford St Brooklyn, NY 11205",40.6975,-73.9762,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1037,P. O. Serrano Playground,,,"Olmstead, Turnbull, Castle Hill, Lafayette Aves",Bronx,NY,10473,"Olmstead, Turnbull, Castle Hill, Lafayette Aves Bronx, NY 10473",40.8234,-73.851,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1038,Paerdegat Park,,,"Foster Ave & Farragut Rd, E 40 St, Albany Ave",Brooklyn,NY,11203,"Foster Ave & Farragut Rd, E 40 St, Albany Ave Brooklyn, NY 11203",40.6381,-73.9381,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1039,Palisades Playground,,,W 148 ST & RIVERSIDE DRIVE,New York,NY,10031,"W 148 ST & RIVERSIDE DRIVE New York, NY 10031",40.829,-73.9507,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
