NPRID,NAME,FACILITY,FACILITY_TYPE,ADDRESS,CITY,STATE,ZIP,HARD ADDRESS,LATITUDE,LONGITUDE,Agency,AgencyType,OWNER,OWNER_TYPE,REMARKS,PubRermarks,url,Entry,Source,Cost,Duplicate,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance,GEOCODE-ERROR
106,Paradise Penninsula Playscape,Waterford Oaks County Park,,1702 Scott Lake Road,Waterford,MI,48328,"1702 Scott Lake Road Waterford, MI 48328",38.8980949,-76.9796563,,,,,"The play structure, whose theme in Michigan Landscape,  include: an ""Up North WoodsÓ cabin, simulated tree fort, sand dunes area, marsh challenge course with simulated cattails, raised sand play area and multiple climbing structures.  Colorful rubberized surfacing depict MichiganÕs Lakes and rivers.","The play structure, whose theme in Michigan Landscape,  include: an ""Up North WoodsÓ cabin, simulated tree fort, sand dunes area, marsh challenge course with simulated cattails, raised sand play area and multiple climbing structures.  Colorful rubberized surfacing depict MichiganÕs Lakes and rivers.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,Frog Hollow Boundless Playground,Metropolitan Hospital Health Village,,2050 Metro Court,Wyoming,MI,49509,"2050 Metro Court Wyoming, MI 49509",38.8980949,-76.9796563,,,,,"The park includes telescopes, musical instruments, art, poop-stations for dogs, crazy carnival-mirrors and more!  Close to Metro Health Hospital, Hyatt Place Hotel and there is a Biggby coffee out front so Mom or Dad can put on that caffeine buzz and transform into super-parent again.","The park includes telescopes, musical instruments, art, poop-stations for dogs, crazy carnival-mirrors and more.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Shane's Inspiration,Griffith Park,,4800 Crystal Springs Road,Los Angeles,CA,90027,"4800 Crystal Springs Road Los Angeles, CA 90027",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Features An airplane: Cruise down the accessible ""jet wayÓ and take off on this jetliner. Pilot and co-pilot can manage the controls in the cockpit while checking their compass for direction; The Lucky Star Chaser, a space shuttle that gives children of all abilities a chance to adventure into space; Accessible Slides; and RonaldÕs Ship of Dreams provides hours of imaginative play. Enter through the accessible ""gangwayÓ and explore the wheelhouse, complete with a talk tube radio system.","This playground features an airplane and  a space shuttle that gives children of all abilities a chance to adventure into space, as well as accessible slides and RonaldÕs Ship of Dreams an accessible ""gangwayÓ  wheelhouse and talk tube radio system.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,Aidan's Place,Westwood Park,,1350 South Sepulveda Boulevard,Los Angeles,CA,90024,"1350 South Sepulveda Boulevard Los Angeles, CA 90024",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Opened in 2001. One of the features in the Airplane where young pilots and co-pilots will enjoy a fully-accessible cockpit loaded with features. They can communicate with the Control Tower via a talk tube radio and plan their route on the navigation panels. There are also accessible slides, sand and water play.  This is a ShaneÕs Inspiration Playground.  The equipment is from Landscape Structures and the playground consultant on this project was RecWest Outdoor Products.","This playground features the  Airplane where young pilots and co-pilots will enjoy a fully-accessible cockpit loaded with features. They can communicate with the Control Tower via a talk tube radio and plan their route on the navigation panels. There are also accessible slides, sand and water play.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Bloom Playground,Belvidere Park,,1006 West Lincoln Avenue,Belvidere,IL,61008,"1006 West Lincoln Avenue Belvidere, IL 61008",38.8980949,-76.9796563,,,,,,,,Robert,Mara,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,,Lake Street Park,,211 North Lake Street,Los Angeles,CA,90026,"211 North Lake Street Los Angeles, CA 90026",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Opened 2004. A series of shaded little cottages, connected by ramps, lead up to an interactive tree-house giving a sense of adventure and fun to children of all abilities.  This is a ShaneÕs Inspiration Playground.","A series of shaded little cottages, connected by ramps, lead up to an interactive tree-house giving a sense of adventure and fun to children of all abilities.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,,Lincoln Park,,3600 North Mission Road,Los Angeles,CA,90031,"3600 North Mission Road Los Angeles, CA 90031",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Opened 2004. he playgroundÕs colorful zoo and carousel theme draws on historic community landmarks.  Little ones can travel through a fun-filled, interactive maze while school-age kids slide, swing, and play with the animal artistry. Two zoo animals guard the entranceÉready to spray water at the touch of a button. For the more adventuresome, two ""tree housesÓ provide hours of mystery and intrigue.  The playground was made possible through the combined efforts of Councilmember Ed Reyes, the City of Los Angeles Recreation and Parks Department, and ShaneÕs Inspiration.  The equipment is from Landscape Structures Inc and the playground consultant on this project was RecWest Outdoor Products.","The  playground'ss colorful zoo and carousel theme draws on historic community landmarks. The park includes an  interactive maze, slides swings and two treehouses. Zoo animals guard the entrance, ready to spray water at the touch of a button.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,,Parque de los Suenos,,1333 Bonnie Beach Place,East Los Angeles,CA,90023,"1333 Bonnie Beach Place East Los Angeles, CA 90023",38.8980949,-76.9796563,,,,,"Opened 2004. Buckle in and rocket to the moon at this space-themed Universally Accessible Playground in East Los Angeles. This colorful planetary play space features an interactive shuttle with movable controls, steering instruments, and wide wings for climbing.  There is sturdy netting to climb and stargazing through periscopes. A fully-accessible 3-foot-high maze provides hours of active and imaginative play. There are also sound pucks embedded in the playground encourage auditory discovery.  This is a ShaneÕs Inspiration Playground, with equipment from Landscape Structures Inc, and the playground consultant was RecWest Outdoor Products.","This space-themed Universally Accessible Playground  in East Los Angeles.  features an interactive shuttle with movable controls, steering instruments, and wide wings for climbing.  There is sturdy netting to climb and stargazing through periscopes. A fully-accessible 3-foot-high maze provides hours of active and imaginative play. There are also sound pucks embedded in the playground encourage auditory discovery.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,,Prado Regional Park,,16700 Euclid Avenue,Chino,CA,91710,"16700 Euclid Avenue Chino, CA 91710",38.8980949,-76.9796563,,,,,Opened 2004.,,,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,Neil Papiano Play Park,Los Angeles Zoo,,5333 Zoo Drive,Los Angeles,CA,90027,"5333 Zoo Drive Los Angeles, CA 90027",38.8980949,-76.9796563,,,,,"Opened 2005. This ShaneÕs Inspiration playground is surrounded by lush trees and the cries of animals, children can climb the alligators who rise up out of the surfacing or play with the gorillas and elephants who bask in the sun. After exploring the animals, children can hop onto the play pods or take a turn on the spinning disk, something that is critical in promoting balance for children with neurological disorders. Or take a trip down one of the textured slides, providing hours of fun and discovery under the shade of cool, colorful shade structures.  The equipment is from Landscape Structures Inc and the playground consultant on this project was RecWest Outdoor Products.","After exploring the zoo animals, children can hop onto the play pods or take a turn on the spinning disk orr take a trip down one of the textured slides, providing hours of fun and discovery under the shade of cool, colorful shade structures.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,Brandon's Village,Gates Canyon Park,,25801 Thousand Oaks Boulevard,Calabasas,CA,91302,"25801 Thousand Oaks Boulevard Calabasas, CA 91302",38.8980949,-76.9796563,,,,,Opened 2005.,,,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,,Hansen Dam Recreation Center,,11770 Foothill Boulevard,Lake View Terrace,CA,91342,"11770 Foothill Boulevard Lake View Terrace, CA 91342",,,,,City of Los Angeles,Municipal,"Opened 2007. The park is home to a sprawling, inclusive PlayBooster¨ playstructure. With an extensive ramping system, children of all abilities are able to access nearly every point on the playground. They can reach the crawl tunnels, many different slides and play panels, and other fun playground components. Additionally, custom roofs and CoolToppers¨ shade systems provide protection from harmful UV rays.  The playground equipment is from Landscape Structures Inc and was built by RecWest Outdoor Products.   This playground was done in collaboration with ShaneÕs Inspiration.","he park is home to a sprawling, inclusive PlayBooster playstructure with an extensive ramping system where children of all abilities acan reach the crawl tunnels, many different slides and play panels, and other fun playground components. Additionally, custom roofs and shade systems provide protection from harmful UV rays.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
117,,Playa Vista Sports Park,,13196 West Bluff Creek Drive,Playa Vista,CA,90094,"13196 West Bluff Creek Drive Playa Vista, CA 90094",,,,,,,Opened 2007.,,,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
118,,Spring Canyon Community Park,,2626 West Horsetooth Road,Fort Collins,CO,80526,"2626 West Horsetooth Road Fort Collins, CO 80526",,,,,,,Opened 2007.,,,Robert,Shanes,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
119,,"Martin Luther King, Jr. Therapeutic Rec Center",,3916 South Western Avenue,Los Angeles,CA,90062,"3916 South Western Avenue Los Angeles, CA 90062",,,,,City of Los Angeles,Municipal,"Opened 2008. The playground  has two play areas one section for two to five-year-olds and another section for five to twelve-year-olds. A totally inclusive play environment incorporates a a Landscape Structures Inc PlayBooster¨ playstructure with climbers, slides, accessible play panels, ramps, and tunnels.  The playground also features  a swing set, sand play area and a half-height security fence to help provide a safe environment.  One of the features in the Airplane where young pilots and co-pilots will enjoy a fully-accessible cockpit loaded with features. They can communicate with the Control Tower via a talk tube radio and plan their route on the navigation panels. There are also accessible slides, sand and water play.  This is a  ShaneÕs Inspiration Playground.  The playground consultant on this project was RecWest Outdoor Products.","A totally inclusive play environment incorporates a playstructure with climbers, slides, accessible play panels, ramps, and tunnels.  The playground also features  a swing set, sand play area and a half-height security fence to help provide a safe environment.  One of the features in the Airplane where young pilots and co-pilots will enjoy a fully-accessible cockpit loaded with features. They can communicate with the Control Tower via a talk tube radio and plan their route on the navigation panels. There are also accessible slides, sand and water play.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
12,Playground For Everyone,Winter Park,,900 East Winter Avenue,Danville,IL,61832,"900 East Winter Avenue Danville, IL 61832",38.8980949,-76.9796563,,,,,"his 10,000 square foot playground in a project of AMBUCs, Danville Chapter and was designed to be nearly 100% accessible. The equipment from Little Tikes is designed so that children with disabilities can play on the equipment - not just roll up and sit on it.","This 10,000 square foot playground  was designed to be nearly 100% accessible.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,ReneeÕs Place,Pan Pacific Park,,7600 Beverly Boulevard,Los Angeles,CA,90036,"7600 Beverly Boulevard Los Angeles, CA 90036",,,,,City of Los Angeles,Municipal,"Opened 2008. ReneeÕs Place has two play areas, both with equipment from Landscape Structures: one for two to five-year-olds, and another for five to twelve-year-olds. The older childrenÕs area is in the shape of a train, with sound features that include a train engine, whistle and sound of a train going over tracks. Both play areas have swing sets, shade structures and colorful resilient rubberized surfacing.Another special feature of the 17,000-square-foot playground is a foot path with a water element that will provide a unique sensory activity, complete with gentle mist. This is a ShaneÕs Inspiration Playground and the playground consultant was RecWest Outdoor Products.","The park has play areas for 2-5 year-olds and 5-12 year-olds. The older childrenÕs area is in the shape of a train, with sound features that include a train engine, whistle and sound of a train going over tracks. Both play areas have swing sets, shade structures and colorful resilient rubberized surfacing. Another special feature of the 17,000-square-foot playground is a foot path with a water element that will provide a unique sensory activity, complete with gentle mist.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
121,,Hazard Recreation Center,,2230 Norfolk Street,Los Angeles,CA,90033,"2230 Norfolk Street Los Angeles, CA 90033",,,,,City of Los Angeles,Municipal,Opened 2008.,,,Robert,Shanes,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
122,Anthony C. Beilenson Park,Lake Balboa Park,,6300 Balboa Boulevard,Van Nuys,CA,91406,"6300 Balboa Boulevard Van Nuys, CA 91406",,,,,City of Los Angeles,Municipal,"Opened 2008. Anthony C. Beilenson Park is an 80 acre water recreation facility within the Sepulveda Flood Control basin. The centerpiece of the park, Lake Balboa, is a 27 acre lake.  An 19,600-square-foot accessible ShaneÕs Inspiration playground provides an inclusive atmosphere for all children and families. Included in the design is a lighthouse-themed Landscape Structures PlayBooster¨ playstructure, as well as other themed components throughout. A Sway Fun¨ glider, swings, climbers and slides offer lots of sensory experiences. The playground consultant on this project was RecWest Outdoor Products. Read a review",,,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
123,Everychild Foundation Universally Accessible Playg,Los Angeles Orthopaedic Hospital,,2400 South Flower Street,Los Angeles,CA,90007,"2400 South Flower Street Los Angeles, CA 90007",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"The park features colorful slides, tubes, bridges, adapted swings, interactive puzzles, a quiet area, a dragon mister and lush landscaping for children ages two to 12. There is a Sway Fun.  The park is open everyday from 9am to 5pm.  Parking entrance is located on 23rd St., between Flower St. and Grand Ave. Pedestrian entrance on Adams Blvd. This is a ShaneÕs Inspiration Playground done in collaboration with RecWest Outdoor Products.","The park features colorful slides, tubes, bridges, adapted swings, interactive puzzles, a quiet area, a dragon mister, a Sway Fun  and lush landscaping for children ages two to 12.",,Sophia,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,Kirk and Anne Douglas Playground,Gilbert W. Lindsay Community Center,,425 East 42nd Place,Los Angeles,CA,90011,"425 East 42nd Place Los Angeles, CA 90011",38.8980949,-76.9796563,,,,,This is a Boundless Playground.,,,Sophia,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,CVS Playground,Rosecrans Recreation Center,,840 West 49th Street,Gardena,CA,90247,"840 West 49th Street Gardena, CA 90247",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,This is a Boundless Playground.,,,Sophia,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,,Westchester Recreation Center,,7000 West Manchester Avenue,Los Angeles,CA,90045,"7000 West Manchester Avenue Los Angeles, CA 90045",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,Universal Playground,Appleton Memorial Park,,1620 Witzke Boulevard,Appleton,WI,54911,"1620 Witzke Boulevard Appleton, WI 54911",38.8980949,-76.9796563,,,,,MW: can't type in address 2426 North Discovery Place,,,Sophia,Mara,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,,Lake Eau Claire County Park,,721 Oxford Avenue,Eau Claire,WI,54703,"721 Oxford Avenue Eau Claire, WI 54703",38.8980949,-76.9796563,,,,,MW I think this is park office,MW: ADDRESS? I THINK THIS IS PARK OFFICE,,Sophia,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129,,Elvehjem Elementary School,,5106 Academy Drive,Madison,WI,53716,"5106 Academy Drive Madison, WI 53716",38.8980949,-76.9796563,,,,,This is a Boundless Playground.,,,Sophia,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Independence Park,Lincoln Park,,1000 Logan Avenue,Danville,IL,61832,"1000 Logan Avenue Danville, IL 61832",38.8980949,-76.9796563,,,,,An AMBUCS project that contains equipment from Little Tikes.,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130,Imagination Station,Roosevelt Park,,700 Main Street,Oconomowoc,WI,53066,"700 Main Street Oconomowoc, WI 53066",38.8980949,-76.9796563,,,,,"This Leather and Associates Playground features rubberized surfacing, recycled plastic composite ramping, therapeutic swings & swinging deck, multi-sensory activity structures, musical & educational components, and one entrance/exit safety.","the playground features rubberized surfacing, recycled plastic composite ramping, therapeutic swings & swinging deck, multi-sensory activity structures, musical and educational components, and one entrance/exit safety.",,Sophia,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
